F/m,x**2,y**2,x*y,x,y,avgError
15,0.014978294830562683,0.09646913201100038,-0.010529116924395716,1.5780695348294171,0.09662705293130013,93.19057702555368
20,0.005777759883715557,0.04916059555944332,-0.005952754971146642,0.8923048656688786,0.0568382032448685,52.68768977396072
25,0.0029919999760249375,0.03298704042453195,-0.004275074136725135,0.6405078899886463,0.042041323598906555,37.83645014472187
30,0.0017490476909284838,0.0248227472295609,-0.003375003834913667,0.5062317274624217,0.034477999835654534,29.876542381930754
40,0.0007040726381652092,0.016604297940490554,-0.0024053026594007747,0.3606283186358797,0.026032941437922275,21.290336949632998
50,0.00030336000416900224,0.0124735326239018,-0.0018812182390969367,0.28055090695164575,0.02104688134265087,16.63183327433548
60,0.0001093890227865512,0.009988981050221519,-0.0015484957234455834,0.23107672149330927,0.018102912540220655,13.694675458294471
70,9.030524757375504e-06,0.008329380310663216,-0.0013177135680811599,0.19641939431289251,0.015904028646067072,11.652035481518988
